#    Z       m        H              D           He3            He4          C12         C13P          N14P          O16            Mrem     C13           N14
  0.0004    1.55   -0.122E+00   -0.263E-04    0.209E-03    0.858E-01    0.375E-01    0.000E+00    0.000E+00      0.306E-02       0.70   -0.310E-06   -0.121E-04
  0.0004    1.70   -0.154E+00   -0.271E-04    0.120E-03    0.105E+00    0.459E-01    0.000E+00    0.000E+00      0.377E-02       0.74   -0.320E-06   -0.124E-04
  0.0004    1.86   -0.170E+00   -0.279E-04    0.113E-03    0.118E+00    0.511E-01    0.000E+00    0.000E+00      0.423E-02       0.78   -0.329E-06   -0.128E-04
  0.0004    2.04   -0.182E+00   -0.287E-04    0.915E-04    0.125E+00    0.544E-01    0.000E+00    0.000E+00      0.452E-02       0.82   -0.338E-06   -0.132E-04
  0.0004    2.23   -0.179E+00   -0.299E-04    0.792E-04    0.122E+00    0.533E-01    0.000E+00    0.000E+00      0.442E-02       0.84   -0.353E-06   -0.137E-04
  0.0004    2.45   -0.163E+00   -0.313E-04    0.741E-04    0.111E+00    0.481E-01    0.000E+00    0.000E+00      0.401E-02       0.85   -0.370E-06   -0.144E-04
  0.0004    2.68   -0.142E+00   -0.315E-04    0.668E-04    0.982E-01    0.421E-01    0.000E+00    0.000E+00      0.355E-02       0.92    0.623E-05   -0.144E-04
  0.0004    2.94   -0.123E+00   -0.315E-04    0.592E-04    0.837E-01    0.364E-01    0.000E+00    0.000E+00      0.308E-02       1.01    0.176E-04   -0.144E-04
  0.0004    3.22   -0.926E-01   -0.325E-04   -0.348E-06    0.624E-01    0.203E-01    0.183E-02    0.652E-02      0.229E-02       1.04    0.146E-03   -0.149E-04
  0.0004    3.52   -0.635E-01   -0.338E-04   -0.204E-04    0.428E-01    0.337E-02    0.366E-02    0.140E-01      0.148E-02       1.04    0.267E-03   -0.155E-04
  0.0004    3.86   -0.665E-01   -0.352E-04   -0.213E-04    0.486E-01    0.329E-03    0.746E-03    0.165E-01      0.107E-02       1.03   -0.415E-06    0.200E-03
  0.0004    4.23   -0.714E-01   -0.364E-04   -0.220E-04    0.552E-01    0.218E-04    0.430E-03    0.140E-01      0.643E-03       1.02   -0.430E-06    0.345E-03
