#    Z       m        H              D           He3            He4          C12         C13P          N14P           O16            Mrem     C13           N14
  0.0200    4.50   -0.378E-01   -0.389E-04    0.136E-04    0.340E-01    0.192E-02    0.398E-04    0.101E-02       0.291E-03       0.85    0.290E-04    0.423E-03
  0.0200    5.00   -0.502E-01   -0.396E-04   -0.740E-05    0.486E-01    0.588E-03    0.934E-04    0.602E-03       0.936E-04       0.88    0.393E-03    0.177E-02
  0.0200    5.50   -0.634E-01   -0.401E-04   -0.229E-04    0.601E-01   -0.115E-02    0.000E+00    0.000E+00      -0.247E-03       0.90    0.116E-03    0.619E-02
  0.0200    6.00   -0.716E-01   -0.406E-04   -0.238E-04    0.702E-01   -0.161E-02    0.000E+00    0.000E+00      -0.484E-03       0.93    0.994E-04    0.604E-02
  0.0500    1.00   -0.329E-01   -0.226E-04    0.121E-03    0.344E-01   -0.585E-03    0.000E+00    0.000E+00       0.495E-03       0.53    0.697E-04    0.347E-03
  0.0500    1.25   -0.355E-01   -0.284E-04    0.224E-03    0.395E-01   -0.116E-02    0.000E+00    0.000E+00       0.472E-03       0.51    0.885E-04    0.844E-03
  0.0500    1.50   -0.353E-01   -0.314E-04    0.217E-03    0.393E-01   -0.197E-02    0.000E+00    0.000E+00       0.553E-03       0.52    0.105E-03    0.130E-02
  0.0500    1.75   -0.272E-01   -0.326E-04    0.157E-03    0.332E-01   -0.510E-02    0.000E+00    0.000E+00       0.104E-02       0.56    0.100E-03    0.164E-02
  0.0500    1.90   -0.243E-01   -0.328E-04    0.141E-03    0.311E-01   -0.513E-02    0.000E+00    0.000E+00       0.134E-02       0.60    0.108E-03    0.173E-02
  0.0500    2.00   -0.102E+00   -0.329E-04    0.142E-03   -0.141E-01   -0.514E-02    0.000E+00    0.000E+00       0.102E-02       0.63    0.108E-03    0.163E-02
  0.0500    2.25    0.373E-02   -0.335E-04    0.103E-03    0.170E-01   -0.523E-02    0.000E+00    0.000E+00       0.166E-02       0.68    0.112E-03    0.209E-02
  0.0500    2.50   -0.486E-02   -0.353E-04    0.759E-04    0.117E-01   -0.552E-02    0.000E+00    0.000E+00       0.142E-02       0.66    0.927E-04    0.158E-02
  0.0500    3.00    0.191E-02   -0.376E-04    0.319E-04    0.103E-01   -0.588E-02    0.000E+00    0.000E+00       0.892E-03       0.65    0.172E-04   -0.575E-04
  0.0500    3.50   -0.605E-01   -0.398E-04    0.123E-04    0.648E-01    0.671E-03    0.000E+00    0.000E+00       0.714E-04       0.60    0.795E-05   -0.321E-03
  0.0500    4.00   -0.517E-01   -0.398E-04    0.224E-04    0.532E-01   -0.300E-02    0.000E+00    0.000E+00       0.305E-03       0.68   -0.947E-05    0.122E-02
  0.0500    4.50   -0.262E-01   -0.391E-04    0.102E-03    0.381E-01    0.555E-02    0.000E+00    0.000E+00       0.732E-03       0.83   -0.577E-04   -0.224E-02
  0.0500    5.00   -0.230E-01   -0.397E-04    0.328E-04    0.424E-01    0.147E-02    0.262E-03    0.000E+00       0.134E-02       0.86    0.110E-02   -0.228E-02
  0.0500    5.50   -0.742E-01   -0.403E-04   -0.207E-04    0.780E-01   -0.419E-02    0.000E+00    0.000E+00       0.304E-03       0.88    0.124E-03    0.745E-03
  0.0500    6.00   -0.740E-01   -0.410E-04   -0.230E-04    0.866E-01   -0.504E-02    0.000E+00    0.000E+00       0.487E-03       0.88    0.685E-04    0.124E-02
