#    Z       m        H              D           He3            He4          C12        O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0200   20.00   -0.211E+00   -0.441E-04    0.783E-05    0.698E-01    0.130E-01    0.611E-01    0.268E-01    0.510E-02    0.732E-02    0.271E-02    0.602E-04    0.594E-02      1.61    0.585E-04    0.210E-02
  0.0200   25.00   -0.245E+00   -0.445E-04    0.541E-05    0.588E-01    0.215E-01    0.896E-01    0.287E-01    0.359E-02    0.932E-02    0.436E-02    0.285E-03    0.490E-02      1.80    0.551E-04    0.186E-02
  0.0200   30.00   -0.270E+00   -0.452E-04    0.354E-05    0.473E-01    0.187E-01    0.122E+00    0.433E-01    0.577E-02    0.584E-02    0.199E-02   -0.236E-04    0.421E-02      1.73    0.531E-04    0.182E-02
  0.0200   35.00   -0.285E+00   -0.451E-04    0.245E-05    0.406E-01    0.240E-01    0.141E+00    0.369E-01    0.398E-02    0.743E-02    0.299E-02    0.983E-04    0.369E-02      2.10    0.507E-04    0.188E-02
  0.0200  100.00   -0.373E+00   -0.468E-04   -0.308E-05    0.190E-02    0.444E-01    0.217E+00    0.116E-01    0.000E+00    0.136E-01    0.687E-02    0.556E-03    0.164E-02      2.47    0.411E-04    0.207E-02
  0.0500   13.00   -0.144E+00   -0.429E-04    0.564E-04    0.962E-01    0.260E-02    0.103E-01    0.143E-04   -0.134E-02    0.653E-02    0.175E-02   -0.486E-03    0.100E-01      1.38    0.163E-03    0.631E-02
  0.0500   15.00   -0.131E+00   -0.416E-04    0.615E-04    0.792E-01    0.126E-01    0.178E-01    0.000E+00    0.000E+00    0.113E-01    0.396E-02   -0.307E-03    0.914E-02      1.99    0.159E-03    0.581E-02
  0.0500   20.00   -0.190E+00   -0.440E-04    0.549E-04    0.607E-01    0.543E-02    0.493E-01    0.328E-01    0.213E-02    0.596E-02    0.181E-02   -0.565E-03    0.736E-02      1.67    0.149E-03    0.508E-02
  0.0500   25.00   -0.231E+00   -0.446E-04    0.506E-04    0.420E-01    0.155E-01    0.776E-01    0.320E-01    0.167E-02    0.104E-01    0.361E-02   -0.498E-03    0.626E-02      1.76    0.140E-03    0.439E-02
  0.0500   30.00   -0.231E+00   -0.452E-04    0.474E-04    0.232E-01    0.181E-01    0.109E+00    0.390E-01   -0.412E-03    0.791E-02    0.227E-02   -0.545E-03    0.556E-02      1.75    0.135E-03    0.433E-02
  0.0500   35.00   -0.255E+00   -0.452E-04    0.450E-04    0.173E-01    0.197E-01    0.130E+00    0.337E-01    0.193E-03    0.798E-02    0.238E-02   -0.613E-03    0.494E-02      2.04    0.129E-03    0.447E-02
  0.0500  100.00   -0.372E+00   -0.469E-04    0.347E-04   -0.110E-01    0.255E-01    0.213E+00    0.133E-01    0.000E+00    0.825E-02    0.273E-02   -0.918E-03    0.258E-02      2.32    0.102E-03    0.499E-02
