#    Z       m        H              D           He3            He4          C12         C13P          N14P         O16               Mrem     C13           N14
  0.0080    5.00   -0.329E-01   -0.387E-04   -0.234E-04    0.273E-01    0.588E-04    0.970E-04    0.642E-02     0.227E-03          0.97    0.756E-06    0.314E-04
  0.0080    6.00   -0.360E-01   -0.397E-04   -0.240E-04    0.293E-01    0.830E-04    0.116E-03    0.780E-02    -0.110E-03          1.04    0.709E-06    0.429E-04
  0.0080    7.00   -0.397E-01   -0.404E-04   -0.244E-04    0.307E-01    0.107E-03    0.130E-03    0.879E-02    -0.452E-03          1.11    0.675E-06    0.526E-04
  0.0080    8.00   -0.503E-01   -0.409E-04   -0.247E-04    0.408E-01    0.975E-05    0.158E-03    0.111E-01    -0.816E-03          1.19    0.576E-06    0.629E-04
  0.0200    0.80    0.843E-01   -0.780E-05   -0.471E-05    0.129E-02   -0.488E-03    0.000E+00    0.000E+00    -0.974E-03          0.67   -0.460E-05   -0.179E-03
  0.0200    0.90   -0.104E-01   -0.176E-04   -0.106E-04    0.994E-02   -0.349E-03    0.000E+00    0.000E+00     0.147E-03          0.57    0.601E-06    0.244E-04
  0.0200    1.00   -0.212E-01   -0.254E-04   -0.154E-04    0.188E-01   -0.300E-04    0.000E+00    0.000E+00     0.125E-02          0.47    0.134E-04    0.232E-03
  0.0200    1.30   -0.153E-01   -0.266E-04   -0.161E-04    0.149E-01   -0.392E-03    0.000E+00    0.000E+00     0.706E-03          0.58    0.702E-05    0.148E-03
  0.0200    1.50   -0.180E-01   -0.310E-04   -0.188E-04    0.162E-01    0.920E-03    0.000E+00    0.000E+00     0.705E-03          0.53    0.563E-05    0.142E-03
  0.0200    1.70   -0.169E-01   -0.322E-04   -0.194E-04    0.144E-01    0.140E-02    0.000E+00    0.000E+00     0.527E-03          0.56    0.296E-05    0.859E-04
  0.0200    2.00   -0.239E-01   -0.336E-04   -0.203E-04    0.199E-01    0.247E-02    0.000E+00    0.000E+00     0.430E-03          0.60    0.294E-05    0.900E-04
  0.0200    2.50   -0.351E-01   -0.365E-04   -0.220E-04    0.275E-01    0.416E-02    0.000E+00    0.000E+00     0.344E-03          0.60    0.273E-05    0.960E-04
  0.0200    3.00   -0.386E-01   -0.381E-04   -0.230E-04    0.328E-01    0.525E-02    0.640E-04    0.165E-02     0.411E-03          0.62    0.415E-05    0.137E-03
  0.0200    3.50   -0.384E-01   -0.383E-04   -0.231E-04    0.326E-01    0.501E-02    0.666E-04    0.172E-02     0.316E-03          0.71    0.347E-05    0.115E-03
  0.0200    4.00   -0.375E-01   -0.385E-04   -0.233E-04    0.311E-01    0.477E-02    0.683E-04    0.178E-02     0.198E-03          0.79    0.279E-05    0.947E-04
  0.0200    4.50   -0.378E-01   -0.389E-04   -0.235E-04    0.318E-01    0.208E-02    0.108E-03    0.482E-02     0.158E-03          0.85    0.282E-05    0.989E-04
  0.0200    5.00   -0.385E-01   -0.392E-04   -0.237E-04    0.309E-01   -0.594E-03    0.140E-03    0.724E-02     0.142E-03          0.92    0.271E-05    0.104E-03
  0.0200    6.00   -0.401E-01   -0.400E-04   -0.242E-04    0.334E-01   -0.617E-03    0.155E-03    0.865E-02    -0.350E-03          1.00    0.458E-05    0.135E-03
