#    Z       m        H              D           He3            He4          C12           O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0040   15.00   -0.178E+00   -0.433E-04    0.933E-05    0.109E+00    0.906E-02       0.364E-01    0.524E-02    0.118E-02    0.493E-02    0.237E-02    0.359E-03    0.149E-03      1.48    0.817E-05    0.488E-03
  0.0040   18.00   -0.211E+00   -0.435E-04    0.696E-05    0.115E+00    0.121E-01       0.546E-01    0.119E-01    0.388E-02    0.702E-02    0.259E-02    0.357E-03    0.145E-03      1.70    0.704E-05    0.434E-03
  0.0040   19.00   -0.225E+00   -0.434E-04    0.608E-05    0.106E+00    0.120E-01       0.616E-01    0.853E-02    0.307E-02    0.912E-02    0.415E-02    0.543E-03    0.141E-03      1.81    0.646E-05    0.417E-03
  0.0040   20.00   -0.226E+00   -0.432E-04    0.602E-05    0.107E+00    0.116E-01       0.770E-01    0.485E-02    0.216E-02    0.118E-01    0.648E-02    0.838E-03    0.139E-03      1.98    0.615E-05    0.412E-03
  0.0040   22.00   -0.246E+00   -0.434E-04    0.542E-05    0.109E+00    0.100E-01       0.962E-01    0.180E-02    0.604E-03    0.149E-01    0.820E-02    0.937E-03    0.136E-03      2.11    0.561E-05    0.419E-03
  0.0040   25.00   -0.275E+00   -0.442E-04    0.376E-05    0.111E+00    0.104E-01       0.116E+00    0.333E-02    0.821E-03    0.153E-01    0.824E-02    0.770E-03    0.134E-03      2.00    0.507E-05    0.454E-03
  0.0040   30.00   -0.317E+00   -0.448E-04    0.197E-05    0.114E+00    0.951E-02       0.147E+00    0.201E-01    0.107E-01    0.717E-02    0.216E-02    0.312E-03    0.128E-03      2.00    0.418E-05    0.501E-03
  0.0040   35.00   -0.323E+00   -0.436E-04    0.160E-05    0.113E+00    0.894E-02       0.164E+00    0.232E-01    0.938E-02    0.296E-02    0.755E-04   -0.627E-04    0.120E-03      3.24    0.352E-05    0.526E-03
  0.0040   40.00   -0.331E+00   -0.425E-04    0.556E-06    0.123E+00    0.934E-02       0.154E+00    0.360E-01    0.628E-02    0.655E-03   -0.382E-04   -0.617E-04    0.110E-03      4.56    0.291E-05    0.550E-03
  0.0040   60.00   -0.352E+00   -0.401E-04   -0.141E-05    0.147E+00    0.102E-01       0.132E+00    0.657E-01    0.000E+00    0.000E+00    0.000E+00   -0.592E-04    0.858E-04      9.85    0.145E-05    0.609E-03
  0.0040  100.00   -0.370E+00   -0.382E-04   -0.318E-05    0.165E+00    0.110E-01       0.114E+00    0.893E-01    0.000E+00    0.000E+00    0.000E+00   -0.572E-04    0.668E-04     20.40    0.295E-06    0.656E-03
  0.0080   11.00   -0.115E+00   -0.418E-04    0.118E-04    0.101E+00    0.478E-02       0.112E-02    0.898E-10   -0.309E-03    0.476E-03    0.679E-04   -0.722E-04    0.351E-03      1.41    0.217E-04    0.138E-02
  0.0080   12.00   -0.137E+00   -0.426E-04    0.103E-04    0.102E+00    0.614E-02       0.109E-01    0.712E-02   -0.677E-04    0.402E-02    0.263E-02    0.416E-03    0.356E-03      1.36    0.209E-04    0.768E-03
