#    Z       m        H              D           He3            He4          C12         C13P          N14P           O16             Mrem     C13           N14
  0.0000    7.50   -0.791E-01   -0.410E-04   -0.248E-04    0.671E-01    0.373E-03    0.103E-03    0.768E-02       0.000E+00        1.09    0.000E+00    0.000E+00
  0.0000    7.60   -0.790E-01   -0.411E-04   -0.248E-04    0.685E-01    0.386E-03    0.107E-03    0.800E-02       0.000E+00        1.10    0.000E+00    0.000E+00
  0.0000    7.70   -0.800E-01   -0.411E-04   -0.249E-04    0.683E-01    0.397E-03    0.111E-03    0.830E-02       0.000E+00        1.10    0.000E+00    0.000E+00
  0.0000    7.80   -0.822E-01   -0.412E-04   -0.249E-04    0.694E-01    0.409E-03    0.114E-03    0.859E-02       0.000E+00        1.10    0.000E+00    0.000E+00
  0.0000    7.90   -0.821E-01   -0.413E-04   -0.249E-04    0.707E-01    0.420E-03    0.118E-03    0.887E-02       0.000E+00        1.11    0.000E+00    0.000E+00
  0.0000    8.00   -0.843E-01   -0.413E-04   -0.250E-04    0.718E-01    0.431E-03    0.122E-03    0.916E-02       0.000E+00        1.11    0.000E+00    0.000E+00
  0.0001    0.80   -0.407E-01   -0.156E-04   -0.943E-05   -0.188E-01    0.644E-03    0.000E+00    0.000E+00      -0.140E-04        0.54   -0.460E-07   -0.179E-05
  0.0001    0.90   -0.325E-01   -0.187E-04   -0.113E-04   -0.106E-01    0.259E-03    0.000E+00    0.000E+00      -0.167E-04        0.55   -0.550E-07   -0.214E-05
  0.0001    1.00   -0.249E-01   -0.211E-04   -0.128E-04   -0.401E-02   -0.660E-05    0.000E+00    0.000E+00      -0.189E-04        0.56   -0.623E-07   -0.242E-05
  0.0001    1.10   -0.210E-01   -0.227E-04   -0.137E-04   -0.348E-02   -0.709E-05    0.000E+00    0.000E+00      -0.203E-04        0.58   -0.669E-07   -0.260E-05
  0.0001    1.20   -0.236E-01   -0.248E-04   -0.150E-04   -0.300E-02   -0.775E-05    0.000E+00    0.000E+00      -0.222E-04        0.58   -0.731E-07   -0.284E-05
  0.0001    1.30   -0.212E-01   -0.258E-04   -0.156E-04   -0.571E-02   -0.808E-05    0.000E+00    0.000E+00      -0.232E-04        0.60   -0.762E-07   -0.296E-05
