#0) name												
#1) HI mass												
#2) Uncertainty in %												
#3) metallicity 12 + log(O/H)												
#4) H2mass,MW CO												
#5) H2mass, Z dependent CO												
#6) atomic weight												
#7) log Dust mass (graphite)												
#8) Uncertainty in %												
#9) log Dust mass (anorphous carbon)												
#10) log Stellar mass												
#11) log SFR
#12) Unknown
#13) Hubble type
#14) Category: 1)E	2)S0	3)Sa-Sab	4)Sb-Sc		5)Scd-Sdm	6)Sm-Irr	7)WR	8)BCD	
#15) log(B/D) based on Graham et al. (2008)
						
NGC2146	3.89E+09	22.1	8.68	7.77E+10	8.13E+10	1.4	7.65	8.23	7.26	10.94	0.9	0.04	SB(s)abpec	3	-0.54
HoII	4.21E+08	23.95	7.72	5.18E+06	2.85E+08	1.37	4.92	7.90	4.52	8.23	1.51	0.26	Im	6	-1.39
O053	6.16E+07	16.08	7.6	7.60E+05	4.17E+07	1.37	4.04	13.38	3.67	7.24	2.11	0.4		Im	6	-1.39
NGC2798	2.13E+09	16.08	8.34	3.21E+09	1.61E+10	1.38	7.11	6.86	6.73	10.36	0.39	0.04	SBa	3	-0.34
NGC2841	8.63E+09	16.08	8.54	2.92E+09	5.82E+09	1.39	7.78	9.11	7.42	11.08	0.1	0.06	SAb	4	-0.6
NGC2915	3.52E+08	16.08	7.94	4.34E+06	2.39E+08	1.38	5.66	21.07	5.28	8.49	1.78	0.05	I0	6	-1.39
HoI	1.45E+08	16.08	7.61	1.79E+06	9.85E+07	1.37	5.44	8.27	5.15	7.84	2.08	0.04	IABm	6	-1.39
NGC2976	1.27E+08	16.08	8.36	5.81E+07	2.66E+08	1.38	6.33	9.07	5.95	9.32	1.11	0.27	SAc	4	-1.06
NGC3049	1.21E+09	16.08	8.53	1.80E+08	3.75E+08	1.39	7.17	20.60	6.76	9.71	0.41	0.16	SBab	3	-0.54
NGC3077	8.71E+08	16.08	8.52	3.80E+06	8.32E+06	1.39	6.55	15.35	5.78	9.46	1.06	0.13	I0pec	6	-1.39
M81wB	1.16E+07	16.08	7.84	1.43E+05	7.85E+06	1.37	5.03	63.98	4.66	7.24	2.36	0.1	Im	6	-1.39
NGC3190	4.27E+08	36.84	8.49	-3.93E+08	-9.87E+08	1.39	7.25	11.09	6.89	10.74	0.47	0.04	SAap	3	-0.34
NGC3184	3.37E+09	16.08	8.51	1.19E+09	2.73E+09	1.39	7.58	12.82	7.25	10.49	0.07	0.08	SABcd	5	-1.23
NGC3198	6.85E+09	26.71	8.34	1.30E+09	6.53E+09	1.38	7.96	13.32	7.26	10.35	0.12	0.13	SBc	4	-1.06
IC2574	1.32E+09	16.08	7.85	3.16E+06	1.51E+08	1.37	6.54	47.44	6.06	8.99	1.18	0.1	SABm	6	-1.57
NGC3265	1.75E+08	38.68	8.27	-4.39E+08	-3.04E+09	1.38	6.42	11.68	5.99	9.55	0.65	0.12	E	1	-0.54
NGC3351	1.02E+09	16.08	8.6	4.77E+08	7.23E+08	1.39	7.28	6.82	6.88	10.47	0.27	0.05	SBb	3	-0.6
